id,selected,part_of_speech,tags,english,chinese,norwegian_base,verb_present_tense,verb_past_tense,verb_imperative,noun_plural,noun_singular_definite,noun_plural_definite,adjective_neuter_form,adjective_plural_form,adjective_comparative,adjective_superlative_indefinite,adjective_superlative_definite,adverb_comparative,adverb_superlative
wb_91af0faba269c8f9f15b76b472b3ade4ed8ab6830ffc8c3818422f773a1de321,true,ordinal_number,series,seventieth,第七十,syttiende,,,,,,,,,,,,,
wb_11af2e414b717f0ed10c82b3740bb07e7932acb1ed802825049c664981b2eaea,true,ordinal_number,series,eightieth,第八十,åttiende,,,,,,,,,,,,,
wb_706974e2ad25138fdc658ddb0fd6fe04a7b4864b1b770e8dfcb8fc81fd097395,true,ordinal_number,series,ninetieth,第九十,nittiende,,,,,,,,,,,,,
wb_2728e19c7a1717e1c8e7f3b55bbbcec1de2b5a54ffbbeeafff6b7354d648a4a0,true,ordinal_number,series,one hundredth,第一百,hundrede,,,,,,,,,,,,,
wb_a4765faacdace741812de620a18985fcb7b602f638994be0c67ec54344cfb7ce,true,ordinal_number,series,two hundredth,第二百,to hundrede,,,,,,,,,,,,,
wb_8520a4b49dd998c9015a5280fdfc69b086c07a270c32956774da6443d04983fb,true,ordinal_number,series,three hundredth,第三百,tre hundrede,,,,,,,,,,,,,
wb_c1b94e8766b0ea22c32a8c768e61f7d71c2bce95922b5c21f9e0c044d346b852,true,ordinal_number,series,five hundredth,第五百,fem hundrede,,,,,,,,,,,,,
wb_d8de1b4e8555b9e8cdf86de000165f0f6cb60a02852a93298057db8667debecc,true,ordinal_number,series,one thousandth,第一千,tusende,,,,,,,,,,,,,
wb_1d4d0bb2789d31a250e001a7d380a4c8c481b8d5ba2271a93854f8a6a8ca2164,true,ordinal_number,series,five thousandth,第五千,fem tusende,,,,,,,,,,,,,
wb_86de75df940ea7c07cfa8546aa14062371208450f76786375c7264b689a051a4,true,ordinal_number,series,one hundred thousandth,第十万,hundretusende,,,,,,,,,,,,,
